거래년월일,거래량
2018-11-15,1270
2018-11-17,1190
2018-11-24,1140
2018-12-10,990
2018-12-29,200
2018-12-31,320
2019-01-05,320
2019-01-07,300
2019-01-12,360
2019-01-17,295
2019-01-18,330
2019-01-19,525
2019-01-23,1950
2019-01-24,2075
2019-01-25,1770
2019-01-26,2471
2019-01-28,1230
2019-01-29,1748
2019-01-30,650
2019-01-31,2135
2019-02-01,5228
2019-02-02,1881
2019-02-03,1305
2019-02-04,1470
2019-02-08,7955
2019-02-09,5445
2019-02-11,4580
2019-02-12,8550
2019-02-13,12925
2019-02-14,16430
2019-02-15,14260
2019-02-16,11950
2019-02-18,42654
2019-02-19,25600
2019-02-20,36005
2019-02-21,39440
2019-02-22,53686
2019-02-23,80636
2019-02-25,64927
2019-02-26,57910
2019-02-27,73420
2019-03-01,35665
2019-03-02,39605
2019-03-04,100345
2019-03-05,77630
2019-03-06,108217
2019-03-07,115102
2019-03-08,150085
2019-03-09,189893
2019-03-11,119786
2019-03-12,81379
2019-03-13,166756
2019-03-14,186508
2019-03-15,178810
2019-03-16,186183
2019-03-18,166814
2019-03-19,144491
2019-03-20,222071
2019-03-21,183084
2019-03-22,251809
2019-03-23,308683
2019-03-25,225032
2019-03-26,146320
2019-03-27,251380
2019-03-28,213515
2019-03-29,307189
2019-03-30,263391
2019-04-01,194115
2019-04-02,97749
2019-04-03,182953
2019-04-04,163727
2019-04-05,207944
2019-04-06,247762
2019-04-08,178434
2019-04-09,136320
2019-04-10,253183
2019-04-11,208055
2019-04-12,236146
2019-04-15,197120
2019-04-16,143165
2019-04-17,259209
2019-04-18,339544
2019-04-19,412177
2019-04-20,530595
2019-04-22,364281
2019-04-23,329207
2019-04-24,425130
2019-04-25,543246
2019-04-26,477942
2019-04-27,539807
2019-04-29,325576
2019-04-30,404847
2019-05-01,413028
2019-05-02,453385
2019-05-03,570135
2019-05-04,683482
2019-05-06,462773
2019-05-07,499462
2019-05-08,578309
2019-05-09,638751
2019-05-10,711881
2019-05-11,810219
2019-05-14,584835
2019-05-15,579611
2019-05-16,512676
2019-05-17,705533
2019-05-18,680187
2019-05-20,364865
2019-05-21,364549
2019-05-22,513060
2019-05-23,394247
2019-05-24,475265
2019-05-25,489716
2019-05-27,349788
2019-05-28,511273
2019-05-29,547128
2019-05-30,443820
2019-05-31,534488
2019-06-01,578105
2019-06-03,392387
2019-06-04,328045
2019-06-05,365676
2019-06-06,364905
2019-06-07,584174
2019-06-08,619169
2019-06-10,432935
2019-06-11,440507
2019-06-12,451610
2019-06-13,387230
2019-06-14,483729
2019-06-15,571217
2019-06-17,399610
2019-06-18,414840
2019-06-19,830880
2019-06-20,709713
2019-06-21,692780
2019-06-24,365685
2019-06-25,302555
2019-06-26,329160
2019-06-27,605665
2019-06-28,558525
2019-06-29,550534
2019-07-01,390464
2019-07-02,408326
2019-07-03,464442
2019-07-04,534050
2019-07-05,631316
2019-07-06,569554
2019-07-08,347020
2019-07-09,349288
2019-07-10,380215
2019-07-11,450146
2019-07-12,477440
2019-07-13,509890
2019-07-16,305930
2019-07-17,267605
2019-07-18,399105
2019-07-19,343017
2019-07-20,159880
2019-07-22,258140
2019-07-23,193280
2019-07-25,155460
2019-07-26,279169
2019-07-27,231770
2019-07-29,165540
2019-07-30,104585
2019-07-31,71200
2019-08-01,215773
2019-08-02,240000
2019-08-03,41220
2019-08-05,167535
2019-08-06,125665
2019-08-08,101240
2019-08-09,131568
2019-08-10,130585
2019-08-12,57655
2019-08-13,51380
2019-08-14,47765
2019-08-15,61965
2019-08-16,46675
2019-08-17,40750
2019-08-19,18685
2019-08-20,11285
2019-08-21,9330
2019-08-22,18650
2019-08-23,24185
2019-08-24,53045
2019-08-26,22085
2019-08-28,22785
2019-08-29,31459
2019-08-30,57440
2019-08-31,60915
2019-09-02,28810
2019-09-03,22550
2019-09-04,14980
2019-09-05,19410
2019-09-06,31390
2019-09-07,42290
2019-09-10,175234
2019-09-11,116330
2019-09-12,10830
2019-09-16,49520
2019-09-17,23840
2019-09-18,21280
2019-09-19,19430
2019-09-20,42960
2019-09-21,18410
2019-09-23,6700
2019-09-24,14180
2019-09-25,8270
2019-09-26,18120
2019-09-27,3540
2019-09-28,12590
2019-09-30,1080
2019-10-01,2540
2019-10-02,370
2019-10-03,5520
2019-10-04,1320
2019-10-05,4900
2019-10-08,3090
2019-10-09,1520
2019-10-10,1230
2019-10-12,920
2019-10-17,180
2019-10-18,770
2019-10-19,1810
2019-10-23,550
2019-11-04,150
2019-11-06,150
2019-11-07,60
2019-11-12,130
2019-11-16,220
2019-12-04,80
2019-12-06,490
2019-12-07,380
2019-12-11,470
2019-12-12,1610
2019-12-13,570
2019-12-14,2195
2019-12-17,710
2019-12-18,1500
2019-12-19,1890
2019-12-21,1530
2019-12-23,310
2019-12-24,1210
2019-12-25,1050
2019-12-26,1160
2019-12-27,2100
2019-12-28,520
2019-12-30,760
2019-12-31,2540
2020-01-03,2350
2020-01-04,2900
2020-01-08,1275
2020-01-09,1060
2020-01-10,1970
2020-01-11,910
2020-01-13,250
2020-01-14,530
2020-01-15,1820
2020-01-16,2845
2020-01-17,2920
2020-01-20,2872
2020-01-21,7285
2020-01-22,2237
2020-01-23,3590
2020-01-24,620
2020-01-29,2780
2020-01-30,4344
2020-01-31,3830
2020-02-01,1410
2020-02-03,970
2020-02-04,3440
2020-02-05,5180
2020-02-06,8190
2020-02-07,13438
2020-02-08,31468
2020-02-10,24800
2020-02-11,24979
2020-02-12,32850
2020-02-13,43535
2020-02-14,58207
2020-02-15,55825
2020-02-17,63771
2020-02-18,54701
2020-02-19,61375
2020-02-20,72690
2020-02-21,97417
2020-02-22,122142
2020-02-24,125410
2020-02-25,56050
2020-02-26,88177
2020-02-27,81635
2020-02-28,90000
2020-02-29,95601
2020-03-02,88067
2020-03-03,56936
2020-03-04,79835
2020-03-05,93094
2020-03-06,153187
2020-03-07,164286
2020-03-09,145945
2020-03-10,83771
2020-03-11,137067
2020-03-12,139019
2020-03-13,114547
2020-03-14,111411
2020-03-16,93426
2020-03-17,68680
2020-03-18,73318
2020-03-19,72459
2020-03-20,95258
2020-03-21,87115
2020-03-23,67784
2020-03-24,50341
2020-03-25,71350
2020-03-26,67926
2020-03-27,81035
2020-03-28,122171
2020-03-30,152455
2020-03-31,115774
2020-04-01,127457
2020-04-02,136712
2020-04-03,227751
2020-04-04,260810
2020-04-06,254524
2020-04-07,209436
2020-04-08,317897
2020-04-09,314227
2020-04-10,345589
2020-04-11,348601
2020-04-13,296216
2020-04-14,233902
2020-04-15,279140
2020-04-17,357423
2020-04-18,437929
2020-04-20,461655
2020-04-21,281957
2020-04-22,375670
2020-04-23,392865
2020-04-24,440850
2020-04-25,497204
2020-04-27,389725
2020-04-28,473737
2020-04-29,618283
2020-04-30,431429
2020-05-01,685408
2020-05-02,716657
2020-05-04,867473
2020-05-05,736611
2020-05-06,783149
2020-05-07,522345
2020-05-08,823183
2020-05-09,767563
2020-05-11,662843
2020-05-12,568170
2020-05-13,858140
2020-05-14,459903
2020-05-15,880025
2020-05-16,831158
2020-05-18,640003
2020-05-19,454945
2020-05-20,719468
2020-05-21,626030
2020-05-22,648400
2020-05-23,618278
2020-05-25,347255
2020-05-27,392823
2020-05-28,374194
2020-05-29,395624
2020-05-30,388029
2020-06-01,272445
2020-06-02,199930
2020-06-03,280715
2020-06-04,274987
2020-06-05,337654
2020-06-06,324507
2020-06-08,332233
2020-06-09,372535
2020-06-10,352500
2020-06-11,463503
2020-06-12,488842
2020-06-13,570354
2020-06-15,396979
2020-06-16,341430
2020-06-17,341765
2020-06-18,530993
2020-06-19,655370
2020-06-20,680645
2020-06-22,614250
2020-06-23,684220
2020-06-24,559050
2020-06-25,688130
2020-06-26,851295
2020-06-27,871805
2020-06-29,579570
2020-06-30,392650
2020-07-01,727950
2020-07-02,720700
2020-07-03,707250
2020-07-04,614353
2020-07-06,469300
2020-07-07,301957
2020-07-08,450445
2020-07-09,367064
2020-07-10,510400
2020-07-11,390117
2020-07-13,304135
2020-07-14,344705
2020-07-15,391680
2020-07-16,442324
2020-07-17,357455
2020-07-18,332554
2020-07-20,243685
2020-07-21,244160
2020-07-22,214441
2020-07-23,266755
2020-07-24,295455
2020-07-25,269950
2020-07-27,150490
2020-07-28,77585
2020-07-29,181005
2020-07-30,235480
2020-07-31,243575
2020-08-01,29560
2020-08-03,127230
2020-08-04,94250
2020-08-05,113320
2020-08-06,128655
2020-08-07,131700
2020-08-08,100945
2020-08-10,46675
2020-08-12,44590
2020-08-13,57115
2020-08-14,55730
2020-08-15,38755
2020-08-17,29500
2020-08-18,10120
2020-08-19,9590
2020-08-20,20750
2020-08-21,23120
2020-08-22,29045
2020-08-24,7420
2020-08-25,18060
2020-08-26,3915
2020-08-27,12960
2020-08-28,8635
2020-08-29,28840
2020-08-31,18435
2020-09-01,13855
2020-09-02,5100
2020-09-03,14700
2020-09-04,9875
2020-09-05,35705
2020-09-07,18640
2020-09-08,22415
2020-09-09,32655
2020-09-10,67290
2020-09-11,64100
2020-09-12,64820
2020-09-14,26935
2020-09-15,22020
2020-09-16,49440
2020-09-17,69160
2020-09-18,76920
2020-09-19,84845
2020-09-21,25490
2020-09-22,16460
2020-09-24,39932
2020-09-25,27012
2020-09-26,63930
2020-09-27,9240
2020-09-28,50444
2020-09-29,18947
2020-09-30,3810
2020-10-05,14405
2020-10-06,10330
2020-10-07,7870
2020-10-08,11760
2020-10-09,5670
2020-10-10,9655
2020-10-12,1240
2020-10-13,1420
2020-10-14,1290
2020-10-15,3180
2020-10-16,2080
